event_id,delivery_state,failure_reason,safe_to_replay,recommended_action
evt_000094,failed,customer_endpoint_down,True,investigate_endpoint
evt_000096,recovered,none,False,monitor_endpoint
evt_000097,delivered,none,True,none
evt_000098,delivered,none,True,none
evt_000100,duplicate,duplicate_event,False,avoid_replay
evt_000101,recovered,rate_limited,False,exponential_backoff
evt_000102,failed,payload_too_large,True,reduce_payload
evt_000103,recovered,rate_limited,False,exponential_backoff
evt_000104,recovered,invalid_signature,False,rotate_signature
evt_000105,duplicate,duplicate_event,False,avoid_replay
evt_000107,delivered,none,True,none
evt_000108,failed,customer_endpoint_down,True,investigate_endpoint
evt_000109,recovered,none,False,monitor_endpoint
evt_000110,delivered,none,True,none
evt_000111,recovered,customer_endpoint_down,False,retry_later
evt_000112,delivered,none,True,none
evt_000113,delivered,none,True,none
evt_000114,expired,endpoint_deleted,False,contact_customer
evt_000115,delivered,none,True,none
evt_000116,recovered,rate_limited,False,exponential_backoff
evt_000119,recovered,rate_limited,False,exponential_backoff
evt_000120,failed,customer_endpoint_down,True,investigate_endpoint
evt_000121,delivered,none,True,none
evt_000122,recovered,malformed_response,False,inspect_endpoint
evt_000123,delivered,none,True,none
evt_000124,delivered,none,True,none
evt_000125,expired,endpoint_deleted,False,contact_customer
evt_000128,duplicate,duplicate_event,False,avoid_replay
evt_000129,duplicate,duplicate_event,False,avoid_replay
evt_000130,delivered,none,True,none
evt_000132,delivered,none,True,none
evt_000133,recovered,none,False,monitor_endpoint
evt_000135,delivered,none,True,none
evt_000136,delivered,none,True,none
evt_000137,failed,customer_endpoint_down,True,investigate_endpoint
evt_000139,failed,customer_endpoint_down,True,investigate_endpoint
evt_000140,recovered,none,False,monitor_endpoint
evt_000142,delivered,none,True,none
evt_000143,recovered,rate_limited,False,exponential_backoff
evt_000144,delivered,none,True,none
evt_000145,recovered,invalid_signature,False,rotate_signature
evt_000147,recovered,none,False,monitor_endpoint
evt_000150,recovered,invalid_signature,False,rotate_signature
evt_000151,expired,endpoint_deleted,False,contact_customer
evt_000152,delivered,none,True,none
evt_000153,delivered,none,True,none
evt_000156,recovered,rate_limited,False,exponential_backoff
evt_000157,failed,customer_endpoint_down,True,investigate_endpoint
evt_000158,recovered,none,False,monitor_endpoint
evt_000160,failed,payload_too_large,True,reduce_payload
evt_000161,recovered,rate_limited,False,exponential_backoff
evt_000163,duplicate,duplicate_event,False,avoid_replay
evt_000165,recovered,rate_limited,False,exponential_backoff
evt_000166,delivered,none,True,none
evt_000167,duplicate,duplicate_event,False,avoid_replay
evt_000168,recovered,none,False,monitor_endpoint
evt_000169,recovered,rate_limited,False,exponential_backoff
evt_000170,delivered,none,True,none
evt_000171,recovered,none,False,monitor_endpoint
evt_000172,recovered,customer_endpoint_down,False,retry_later
evt_000173,delivered,none,True,none
evt_000174,failed,payload_too_large,True,reduce_payload
evt_000175,recovered,customer_endpoint_down,False,retry_later
evt_000176,recovered,none,False,monitor_endpoint
evt_000177,duplicate,duplicate_event,False,avoid_replay
evt_000178,delivered,none,True,none
evt_000179,recovered,customer_endpoint_down,False,retry_later
evt_000180,recovered,rate_limited,False,exponential_backoff
evt_000181,delivered,none,True,none
evt_000182,recovered,none,False,monitor_endpoint
evt_000183,recovered,rate_limited,False,exponential_backoff
evt_000184,failed,payload_too_large,True,reduce_payload
evt_000185,recovered,none,False,monitor_endpoint
evt_000186,delivered,none,True,none
evt_000187,delivered,none,True,none
evt_000188,recovered,none,False,monitor_endpoint
evt_000189,recovered,invalid_signature,False,rotate_signature
evt_000192,recovered,malformed_response,False,inspect_endpoint
evt_000193,failed,customer_endpoint_down,True,investigate_endpoint
evt_000194,recovered,malformed_response,False,inspect_endpoint
evt_000195,delivered,none,True,none
evt_000196,delivered,none,True,none
evt_000197,delivered,none,True,none
evt_000199,recovered,none,False,monitor_endpoint
evt_000200,recovered,customer_endpoint_down,False,retry_later
evt_000201,delivered,none,True,none
evt_000202,delivered,none,True,none
evt_000204,failed,payload_too_large,True,reduce_payload
evt_000205,delivered,none,True,none
evt_000206,recovered,customer_endpoint_down,False,retry_later
evt_000209,recovered,customer_endpoint_down,False,retry_later
evt_000210,delivered,none,True,none
evt_000211,expired,endpoint_deleted,False,contact_customer
evt_000212,delivered,none,True,none
evt_000213,recovered,none,False,monitor_endpoint
evt_000215,recovered,rate_limited,False,exponential_backoff
evt_000216,recovered,rate_limited,False,exponential_backoff
evt_000217,duplicate,duplicate_event,False,avoid_replay
evt_000218,recovered,customer_endpoint_down,False,retry_later
evt_000219,recovered,customer_endpoint_down,False,retry_later
evt_000220,recovered,rate_limited,False,exponential_backoff
evt_000221,delivered,none,True,none
evt_000222,delivered,none,True,none
evt_000223,duplicate,duplicate_event,False,avoid_replay
evt_000224,recovered,malformed_response,False,inspect_endpoint
evt_000227,recovered,customer_endpoint_down,False,retry_later
evt_000228,recovered,customer_endpoint_down,False,retry_later
evt_000229,expired,endpoint_deleted,False,contact_customer
evt_000230,duplicate,duplicate_event,False,avoid_replay
evt_000231,expired,endpoint_deleted,False,contact_customer
evt_000232,delivered,none,True,none
evt_000234,recovered,malformed_response,False,inspect_endpoint
evt_000235,delivered,none,True,none
evt_000238,failed,customer_endpoint_down,True,investigate_endpoint
evt_000239,recovered,customer_endpoint_down,False,retry_later
evt_000240,recovered,invalid_signature,False,rotate_signature
evt_000241,delivered,none,True,none
evt_000242,recovered,invalid_signature,False,rotate_signature
evt_000243,recovered,customer_endpoint_down,False,retry_later
evt_000244,recovered,invalid_signature,False,rotate_signature
evt_000245,recovered,rate_limited,False,exponential_backoff
evt_000246,failed,customer_endpoint_down,True,investigate_endpoint
evt_000247,expired,endpoint_deleted,False,contact_customer
evt_000248,recovered,none,False,monitor_endpoint
evt_000249,recovered,malformed_response,False,inspect_endpoint
evt_000251,recovered,none,False,monitor_endpoint
evt_000252,recovered,rate_limited,False,exponential_backoff
evt_000253,recovered,none,False,monitor_endpoint
evt_000254,expired,endpoint_deleted,False,contact_customer
evt_000255,delivered,none,True,none
evt_000257,recovered,none,False,monitor_endpoint
evt_000258,delivered,none,True,none
evt_000259,delivered,none,True,none
evt_000260,recovered,invalid_signature,False,rotate_signature
evt_000262,recovered,none,False,monitor_endpoint
evt_000264,delivered,none,True,none
evt_000265,failed,payload_too_large,True,reduce_payload
evt_000266,recovered,invalid_signature,False,rotate_signature
evt_000267,recovered,invalid_signature,False,rotate_signature
evt_000268,recovered,invalid_signature,False,rotate_signature
evt_000269,duplicate,duplicate_event,False,avoid_replay
evt_000271,recovered,invalid_signature,False,rotate_signature
evt_000273,recovered,malformed_response,False,inspect_endpoint
evt_000274,delivered,none,True,none
evt_000275,delivered,none,True,none
evt_000276,delivered,none,True,none
evt_000277,delivered,none,True,none
evt_000279,expired,endpoint_deleted,False,contact_customer
evt_000280,recovered,rate_limited,False,exponential_backoff
evt_000281,failed,customer_endpoint_down,True,investigate_endpoint
evt_000283,delivered,none,True,none
evt_000284,recovered,rate_limited,False,exponential_backoff
evt_000285,recovered,rate_limited,False,exponential_backoff
evt_000287,delivered,none,True,none
evt_000288,recovered,rate_limited,False,exponential_backoff
evt_000289,delivered,none,True,none
evt_000290,delivered,none,True,none
evt_000291,delivered,none,True,none
evt_000292,failed,payload_too_large,True,reduce_payload
evt_000293,delivered,none,True,none
evt_000294,failed,payload_too_large,True,reduce_payload
evt_000296,duplicate,duplicate_event,False,avoid_replay
evt_000297,recovered,rate_limited,False,exponential_backoff
evt_000298,delivered,none,True,none
evt_000299,recovered,malformed_response,False,inspect_endpoint
evt_000300,failed,payload_too_large,True,reduce_payload
evt_000301,failed,customer_endpoint_down,True,investigate_endpoint
evt_000304,recovered,invalid_signature,False,rotate_signature
evt_000305,delivered,none,True,none
evt_000306,delivered,none,True,none
evt_000308,expired,endpoint_deleted,False,contact_customer
evt_000309,duplicate,duplicate_event,False,avoid_replay
evt_000310,expired,endpoint_deleted,False,contact_customer
evt_000311,recovered,customer_endpoint_down,False,retry_later
evt_000312,failed,customer_endpoint_down,True,investigate_endpoint
evt_000313,delivered,none,True,none
evt_000314,recovered,none,False,monitor_endpoint
evt_000315,failed,payload_too_large,True,reduce_payload
evt_000316,recovered,none,False,monitor_endpoint
evt_000317,recovered,invalid_signature,False,rotate_signature
evt_000319,delivered,none,True,none
evt_000320,delivered,none,True,none
evt_000321,delivered,none,True,none
evt_000322,recovered,invalid_signature,False,rotate_signature
evt_000323,expired,endpoint_deleted,False,contact_customer
evt_000324,delivered,none,True,none
evt_000325,delivered,none,True,none
evt_000326,recovered,none,False,monitor_endpoint
evt_000327,delivered,none,True,none
evt_000328,delivered,none,True,none
evt_000329,delivered,none,True,none
evt_000331,recovered,invalid_signature,False,rotate_signature
evt_000332,delivered,none,True,none
evt_000333,delivered,none,True,none
evt_000334,duplicate,duplicate_event,False,avoid_replay
evt_000335,delivered,none,True,none
evt_000336,recovered,customer_endpoint_down,False,retry_later
evt_000337,failed,customer_endpoint_down,True,investigate_endpoint
evt_000338,failed,payload_too_large,True,reduce_payload
evt_000340,recovered,customer_endpoint_down,False,retry_later
evt_000343,delivered,none,True,none
evt_000344,recovered,invalid_signature,False,rotate_signature
evt_000345,recovered,customer_endpoint_down,False,retry_later
evt_000347,recovered,invalid_signature,False,rotate_signature
evt_000348,duplicate,duplicate_event,False,avoid_replay
evt_000349,delivered,none,True,none
evt_000350,delivered,none,True,none
evt_000351,delivered,none,True,none
evt_000352,expired,endpoint_deleted,False,contact_customer
evt_000354,failed,payload_too_large,True,reduce_payload
evt_000355,delivered,none,True,none
evt_000356,delivered,none,True,none
evt_000357,recovered,none,False,monitor_endpoint
evt_000358,delivered,none,True,none
evt_000359,delivered,none,True,none
evt_000360,recovered,customer_endpoint_down,False,retry_later
evt_000361,recovered,none,False,monitor_endpoint
evt_000362,recovered,none,False,monitor_endpoint
evt_000364,delivered,none,True,none
evt_000367,recovered,invalid_signature,False,rotate_signature
evt_000368,recovered,none,False,monitor_endpoint
evt_000369,recovered,invalid_signature,False,rotate_signature
evt_000370,delivered,none,True,none
evt_000371,delivered,none,True,none
evt_000372,delivered,none,True,none
evt_000373,duplicate,duplicate_event,False,avoid_replay
evt_000374,recovered,invalid_signature,False,rotate_signature
evt_000376,recovered,none,False,monitor_endpoint
evt_000377,recovered,customer_endpoint_down,False,retry_later
evt_000378,recovered,none,False,monitor_endpoint
evt_000379,expired,endpoint_deleted,False,contact_customer
evt_000380,delivered,none,True,none
evt_000381,recovered,invalid_signature,False,rotate_signature
evt_000382,recovered,none,False,monitor_endpoint
evt_000383,recovered,malformed_response,False,inspect_endpoint
evt_000384,delivered,none,True,none
evt_000386,recovered,invalid_signature,False,rotate_signature
evt_000387,recovered,customer_endpoint_down,False,retry_later
evt_000388,delivered,none,True,none
evt_000389,recovered,customer_endpoint_down,False,retry_later
evt_000390,duplicate,duplicate_event,False,avoid_replay
evt_000394,delivered,none,True,none
evt_000395,delivered,none,True,none
evt_000397,recovered,none,False,monitor_endpoint
evt_000398,recovered,invalid_signature,False,rotate_signature
evt_000399,recovered,malformed_response,False,inspect_endpoint
evt_000400,duplicate,duplicate_event,False,avoid_replay
evt_000401,recovered,rate_limited,False,exponential_backoff
evt_000402,delivered,none,True,none
evt_000403,recovered,invalid_signature,False,rotate_signature
evt_000404,recovered,customer_endpoint_down,False,retry_later
evt_000406,delivered,none,True,none
evt_000408,recovered,invalid_signature,False,rotate_signature
evt_000409,failed,payload_too_large,True,reduce_payload
evt_000410,delivered,none,True,none
evt_000411,delivered,none,True,none
evt_000412,delivered,none,True,none
evt_000414,delivered,none,True,none
evt_000415,recovered,none,False,monitor_endpoint
evt_000416,failed,payload_too_large,True,reduce_payload
evt_000417,delivered,none,True,none
evt_000419,recovered,malformed_response,False,inspect_endpoint
evt_000421,delivered,none,True,none
evt_000422,delivered,none,True,none
evt_000423,recovered,none,False,monitor_endpoint
evt_000424,failed,customer_endpoint_down,True,investigate_endpoint
evt_000425,recovered,none,False,monitor_endpoint
evt_000426,recovered,none,False,monitor_endpoint
evt_000427,recovered,none,False,monitor_endpoint
evt_000428,failed,payload_too_large,True,reduce_payload
evt_000429,delivered,none,True,none
evt_000430,failed,customer_endpoint_down,True,investigate_endpoint
evt_000431,recovered,malformed_response,False,inspect_endpoint
evt_000432,failed,customer_endpoint_down,True,investigate_endpoint
evt_000433,recovered,none,False,monitor_endpoint
evt_000434,delivered,none,True,none
evt_000435,failed,payload_too_large,True,reduce_payload
evt_000436,recovered,malformed_response,False,inspect_endpoint
evt_000437,recovered,rate_limited,False,exponential_backoff
evt_000438,delivered,none,True,none
evt_000439,recovered,malformed_response,False,inspect_endpoint
evt_000440,failed,payload_too_large,True,reduce_payload
evt_000441,recovered,rate_limited,False,exponential_backoff
evt_000442,delivered,none,True,none
evt_000443,recovered,none,False,monitor_endpoint
evt_000444,delivered,none,True,none
evt_000445,delivered,none,True,none
evt_000446,failed,customer_endpoint_down,True,investigate_endpoint
evt_000447,recovered,none,False,monitor_endpoint
evt_000448,expired,endpoint_deleted,False,contact_customer
evt_000449,delivered,none,True,none
evt_000450,delivered,none,True,none
evt_000451,recovered,none,False,monitor_endpoint
evt_000452,recovered,malformed_response,False,inspect_endpoint
evt_000453,delivered,none,True,none
evt_000454,recovered,rate_limited,False,exponential_backoff
evt_000456,failed,payload_too_large,True,reduce_payload
evt_000457,delivered,none,True,none
evt_000458,recovered,none,False,monitor_endpoint
evt_000460,recovered,customer_endpoint_down,False,retry_later
evt_000461,recovered,none,False,monitor_endpoint
evt_000462,recovered,customer_endpoint_down,False,retry_later
evt_000463,delivered,none,True,none
evt_000464,recovered,customer_endpoint_down,False,retry_later
evt_000465,recovered,invalid_signature,False,rotate_signature
evt_000466,delivered,none,True,none
evt_000468,recovered,none,False,monitor_endpoint
evt_000469,recovered,malformed_response,False,inspect_endpoint
evt_000470,delivered,none,True,none
evt_000471,recovered,invalid_signature,False,rotate_signature
evt_000472,delivered,none,True,none
evt_000473,failed,customer_endpoint_down,True,investigate_endpoint
evt_000474,recovered,rate_limited,False,exponential_backoff
evt_000475,delivered,none,True,none
evt_000476,delivered,none,True,none
evt_000477,delivered,none,True,none
evt_000478,recovered,rate_limited,False,exponential_backoff
evt_000479,delivered,none,True,none
evt_000480,delivered,none,True,none
evt_000481,delivered,none,True,none
evt_000484,recovered,rate_limited,False,exponential_backoff
evt_000485,delivered,none,True,none
evt_000486,recovered,malformed_response,False,inspect_endpoint
evt_000487,recovered,malformed_response,False,inspect_endpoint
evt_000488,delivered,none,True,none
evt_000490,recovered,invalid_signature,False,rotate_signature
evt_000491,expired,endpoint_deleted,False,contact_customer
evt_000492,duplicate,duplicate_event,False,avoid_replay
evt_000493,failed,payload_too_large,True,reduce_payload
evt_000494,delivered,none,True,none
evt_000495,recovered,none,False,monitor_endpoint
evt_000496,failed,customer_endpoint_down,True,investigate_endpoint
evt_000497,recovered,customer_endpoint_down,False,retry_later
evt_000498,recovered,customer_endpoint_down,False,retry_later
evt_000499,recovered,customer_endpoint_down,False,retry_later
evt_000500,delivered,none,True,none
evt_000501,recovered,invalid_signature,False,rotate_signature
evt_000502,recovered,malformed_response,False,inspect_endpoint
evt_000504,recovered,none,False,monitor_endpoint
evt_000506,delivered,none,True,none
evt_000507,recovered,customer_endpoint_down,False,retry_later
evt_000508,delivered,none,True,none
evt_000509,expired,endpoint_deleted,False,contact_customer
evt_000510,recovered,malformed_response,False,inspect_endpoint
evt_000511,recovered,rate_limited,False,exponential_backoff
evt_000512,delivered,none,True,none
evt_000514,recovered,rate_limited,False,exponential_backoff
evt_000516,recovered,malformed_response,False,inspect_endpoint
evt_000517,delivered,none,True,none
evt_000518,recovered,customer_endpoint_down,False,retry_later
evt_000519,recovered,none,False,monitor_endpoint
evt_000520,recovered,customer_endpoint_down,False,retry_later
evt_000521,recovered,rate_limited,False,exponential_backoff
evt_000522,delivered,none,True,none
evt_000523,delivered,none,True,none
evt_000525,failed,payload_too_large,True,reduce_payload
evt_000528,recovered,none,False,monitor_endpoint
evt_000529,recovered,rate_limited,False,exponential_backoff
evt_000531,delivered,none,True,none
evt_000532,recovered,customer_endpoint_down,False,retry_later
evt_000533,delivered,none,True,none
evt_000534,delivered,none,True,none
evt_000535,failed,payload_too_large,True,reduce_payload
evt_000536,recovered,none,False,monitor_endpoint
evt_000539,recovered,none,False,monitor_endpoint
evt_000541,expired,endpoint_deleted,False,contact_customer
evt_000542,delivered,none,True,none
evt_000543,expired,endpoint_deleted,False,contact_customer
evt_000544,duplicate,duplicate_event,False,avoid_replay
evt_000545,duplicate,duplicate_event,False,avoid_replay
evt_000547,recovered,none,False,monitor_endpoint
evt_000548,delivered,none,True,none
evt_000549,failed,payload_too_large,True,reduce_payload
evt_000550,failed,payload_too_large,True,reduce_payload
evt_000551,recovered,rate_limited,False,exponential_backoff
evt_000552,recovered,rate_limited,False,exponential_backoff
evt_000554,expired,endpoint_deleted,False,contact_customer
evt_000555,delivered,none,True,none
evt_000556,failed,payload_too_large,True,reduce_payload
evt_000558,delivered,none,True,none
evt_000559,recovered,rate_limited,False,exponential_backoff
evt_000562,recovered,customer_endpoint_down,False,retry_later
evt_000563,duplicate,duplicate_event,False,avoid_replay
evt_000564,recovered,rate_limited,False,exponential_backoff
evt_000565,recovered,customer_endpoint_down,False,retry_later
evt_000566,delivered,none,True,none
evt_000567,duplicate,duplicate_event,False,avoid_replay
evt_000568,delivered,none,True,none
evt_000569,recovered,customer_endpoint_down,False,retry_later
evt_000571,recovered,none,False,monitor_endpoint
evt_000573,delivered,none,True,none
evt_000574,recovered,invalid_signature,False,rotate_signature
evt_000577,recovered,invalid_signature,False,rotate_signature
evt_000578,delivered,none,True,none
evt_000579,recovered,none,False,monitor_endpoint
evt_000580,recovered,none,False,monitor_endpoint
evt_000582,delivered,none,True,none
evt_000583,delivered,none,True,none
evt_000585,delivered,none,True,none
evt_000586,recovered,invalid_signature,False,rotate_signature
evt_000587,recovered,rate_limited,False,exponential_backoff
evt_000588,recovered,malformed_response,False,inspect_endpoint
evt_000589,delivered,none,True,none
evt_000590,delivered,none,True,none
evt_000591,expired,endpoint_deleted,False,contact_customer
evt_000592,recovered,invalid_signature,False,rotate_signature
evt_000593,duplicate,duplicate_event,False,avoid_replay
evt_000595,expired,endpoint_deleted,False,contact_customer
evt_000596,recovered,rate_limited,False,exponential_backoff
evt_000597,recovered,customer_endpoint_down,False,retry_later
evt_000598,delivered,none,True,none
evt_000599,delivered,none,True,none
evt_000600,expired,endpoint_deleted,False,contact_customer
evt_000602,recovered,none,False,monitor_endpoint
evt_000603,failed,payload_too_large,True,reduce_payload
evt_000604,expired,endpoint_deleted,False,contact_customer
evt_000605,delivered,none,True,none
evt_000606,recovered,invalid_signature,False,rotate_signature
evt_000608,recovered,invalid_signature,False,rotate_signature
evt_000609,delivered,none,True,none
evt_000610,failed,payload_too_large,True,reduce_payload
evt_000611,delivered,none,True,none
evt_000612,delivered,none,True,none
evt_000613,recovered,invalid_signature,False,rotate_signature
evt_000614,recovered,none,False,monitor_endpoint
evt_000616,duplicate,duplicate_event,False,avoid_replay
evt_000617,duplicate,duplicate_event,False,avoid_replay
evt_000618,recovered,none,False,monitor_endpoint
evt_000619,delivered,none,True,none
evt_000621,duplicate,duplicate_event,False,avoid_replay
evt_000622,recovered,none,False,monitor_endpoint
evt_000623,delivered,none,True,none
evt_000624,delivered,none,True,none
evt_000625,recovered,rate_limited,False,exponential_backoff
evt_000626,delivered,none,True,none
evt_000627,recovered,invalid_signature,False,rotate_signature
evt_000628,recovered,customer_endpoint_down,False,retry_later
evt_000629,delivered,none,True,none
evt_000632,failed,payload_too_large,True,reduce_payload
evt_000634,duplicate,duplicate_event,False,avoid_replay
evt_000637,delivered,none,True,none
evt_000638,recovered,none,False,monitor_endpoint
evt_000640,duplicate,duplicate_event,False,avoid_replay
evt_000641,recovered,malformed_response,False,inspect_endpoint
evt_000642,recovered,customer_endpoint_down,False,retry_later
evt_000643,delivered,none,True,none
evt_000644,delivered,none,True,none
evt_000645,recovered,rate_limited,False,exponential_backoff
evt_000647,expired,endpoint_deleted,False,contact_customer
evt_000648,expired,endpoint_deleted,False,contact_customer
evt_000649,failed,payload_too_large,True,reduce_payload
evt_000650,delivered,none,True,none
evt_000651,delivered,none,True,none
evt_000652,recovered,rate_limited,False,exponential_backoff
evt_000653,delivered,none,True,none
evt_000654,recovered,invalid_signature,False,rotate_signature
evt_000655,recovered,invalid_signature,False,rotate_signature
evt_000656,recovered,rate_limited,False,exponential_backoff
evt_000657,expired,endpoint_deleted,False,contact_customer
evt_000658,delivered,none,True,none
evt_000659,recovered,invalid_signature,False,rotate_signature
evt_000661,delivered,none,True,none
evt_000663,recovered,invalid_signature,False,rotate_signature
evt_000665,delivered,none,True,none
evt_000666,delivered,none,True,none
evt_000669,recovered,none,False,monitor_endpoint
evt_000670,recovered,none,False,monitor_endpoint
evt_000671,delivered,none,True,none
evt_000673,delivered,none,True,none
evt_000674,delivered,none,True,none
evt_000675,recovered,rate_limited,False,exponential_backoff
evt_000676,delivered,none,True,none
evt_000677,recovered,invalid_signature,False,rotate_signature
evt_000678,duplicate,duplicate_event,False,avoid_replay
evt_000679,recovered,customer_endpoint_down,False,retry_later
evt_000680,delivered,none,True,none
evt_000681,recovered,customer_endpoint_down,False,retry_later
evt_000682,delivered,none,True,none
evt_000683,delivered,none,True,none
evt_000684,duplicate,duplicate_event,False,avoid_replay
evt_000685,delivered,none,True,none
evt_000686,recovered,invalid_signature,False,rotate_signature
evt_000688,recovered,rate_limited,False,exponential_backoff
evt_000691,failed,customer_endpoint_down,True,investigate_endpoint
evt_000692,delivered,none,True,none
evt_000693,recovered,rate_limited,False,exponential_backoff
evt_000694,recovered,customer_endpoint_down,False,retry_later
evt_000695,recovered,rate_limited,False,exponential_backoff
evt_000696,recovered,none,False,monitor_endpoint
evt_000697,recovered,customer_endpoint_down,False,retry_later
evt_000698,duplicate,duplicate_event,False,avoid_replay
evt_000701,delivered,none,True,none
evt_000702,recovered,none,False,monitor_endpoint
evt_000703,recovered,rate_limited,False,exponential_backoff
evt_000705,expired,endpoint_deleted,False,contact_customer
evt_000706,recovered,invalid_signature,False,rotate_signature
evt_000707,failed,payload_too_large,True,reduce_payload
evt_000709,recovered,invalid_signature,False,rotate_signature
evt_000710,recovered,invalid_signature,False,rotate_signature
evt_000711,delivered,none,True,none
evt_000712,recovered,rate_limited,False,exponential_backoff
evt_000713,recovered,invalid_signature,False,rotate_signature
evt_000714,expired,endpoint_deleted,False,contact_customer
evt_000715,failed,customer_endpoint_down,True,investigate_endpoint
evt_000716,recovered,none,False,monitor_endpoint
evt_000719,failed,payload_too_large,True,reduce_payload
evt_000720,delivered,none,True,none
evt_000721,delivered,none,True,none
evt_000722,failed,payload_too_large,True,reduce_payload
evt_000723,delivered,none,True,none
evt_000724,recovered,none,False,monitor_endpoint
evt_000725,failed,payload_too_large,True,reduce_payload
evt_000726,recovered,rate_limited,False,exponential_backoff
evt_000728,recovered,customer_endpoint_down,False,retry_later
evt_000730,recovered,invalid_signature,False,rotate_signature
evt_000731,recovered,none,False,monitor_endpoint
evt_000732,failed,payload_too_large,True,reduce_payload
evt_000733,delivered,none,True,none
evt_000734,delivered,none,True,none
evt_000735,failed,payload_too_large,True,reduce_payload
evt_000736,recovered,invalid_signature,False,rotate_signature
evt_000737,recovered,customer_endpoint_down,False,retry_later
evt_000738,duplicate,duplicate_event,False,avoid_replay
evt_000739,recovered,none,False,monitor_endpoint
evt_000740,failed,payload_too_large,True,reduce_payload
evt_000741,delivered,none,True,none
evt_000742,delivered,none,True,none
evt_000743,recovered,malformed_response,False,inspect_endpoint
evt_000744,delivered,none,True,none
evt_000745,recovered,rate_limited,False,exponential_backoff
evt_000746,recovered,customer_endpoint_down,False,retry_later
evt_000747,recovered,customer_endpoint_down,False,retry_later
evt_000748,expired,endpoint_deleted,False,contact_customer
evt_000749,delivered,none,True,none
evt_000750,duplicate,duplicate_event,False,avoid_replay
evt_000751,recovered,customer_endpoint_down,False,retry_later
evt_000752,recovered,rate_limited,False,exponential_backoff
evt_000753,delivered,none,True,none
evt_000754,duplicate,duplicate_event,False,avoid_replay
evt_000755,failed,payload_too_large,True,reduce_payload
evt_000756,recovered,rate_limited,False,exponential_backoff
evt_000757,recovered,rate_limited,False,exponential_backoff
